"Type","Color","Category","Size","Currency","Value","Price","TotalQuantity","Quantity","Pending","Vintage","Wine","Locale","Producer","Varietal","Country","Region","SubRegion","Appellation","BeginConsume","EndConsume","PScore","CScore"
"White - Sparkling","White","Sparkling","750ml","SEK","599","599","1","1","0","2019","Marc H�brart Champagne Premier Cru Special Club","France, Champagne, Champagne Premier Cru","Marc H�brart","Champagne Blend","France","Champagne","Unknown","Champagne Premier Cru","9999","9999","",""
"White - Sparkling","White","Sparkling","750ml","SEK","539","539","1","1","0","1001","Charles Heidsieck Champagne Brut R�serve","France, Champagne","Charles Heidsieck","Champagne Blend","France","Champagne","Unknown","Champagne","9999","9999","",""
"White","White","Dry","750ml","SEK","289","289","1","1","0","2023","Henri Cruchon Chasselas En Roman","Switzerland, Vaud, La C�te, Morges","Henri Cruchon","Chasselas","Switzerland","Vaud","La C�te","Morges","9999","9999","",""
"Red","Red","Dry","750ml","SEK","189","189","2","2","0","2019","Domaine de la Janasse C�tes du Rh�ne Villages Terre d'Argile","France, Rh�ne, Southern Rh�ne, C�tes du Rh�ne Villages","Domaine de la Janasse","Red Rhone Blend","France","Rh�ne","Southern Rh�ne","C�tes du Rh�ne Villages","9999","9999","",""
"White - Sparkling","White","Sparkling","750ml","SEK","449","449","1","1","0","2018","Jean-Francois Launay Champagne Brut Mill�sim�","France, Champagne","Jean-Francois Launay","Champagne Blend","France","Champagne","Unknown","Champagne","9999","9999","",""
"Red","Red","Dry","750ml","SEK","199","199","2","2","0","2021","Josetta Saffirio Barbera d'Alba Superiore","Italy, Piedmont, Alba, Barbera d'Alba Superiore","Josetta Saffirio","Barbera","Italy","Piedmont","Alba","Barbera d'Alba Superiore","9999","9999","",""
"Red","Red","Dry","750ml","SEK","199","199","2","2","0","2020","Josetta Saffirio Barbera d'Alba Superiore","Italy, Piedmont, Alba, Barbera d'Alba Superiore","Josetta Saffirio","Barbera","Italy","Piedmont","Alba","Barbera d'Alba Superiore","9999","9999","",""
"Red","Red","Dry","750ml","SEK","309","309","1","1","0","2016","Josetta Saffirio Barolo","Italy, Piedmont, Langhe, Barolo","Josetta Saffirio","Nebbiolo","Italy","Piedmont","Langhe","Barolo","9999","9999","",""
"Red","Red","Dry","750ml","SEK","359","359","2","2","0","2020","Josetta Saffirio Barolo del Comune di Monforte d'Alba","Italy, Piedmont, Langhe, Barolo","Josetta Saffirio","Nebbiolo","Italy","Piedmont","Langhe","Barolo","9999","9999","",""
"Red","Red","Dry","750ml","SEK","329","329","1","1","0","2019","Josetta Saffirio Barolo del Comune di Monforte d'Alba","Italy, Piedmont, Langhe, Barolo","Josetta Saffirio","Nebbiolo","Italy","Piedmont","Langhe","Barolo","9999","9999","",""
"Red","Red","Dry","1.5L","SEK","899","899","1","1","0","2019","Josetta Saffirio Barolo del Comune di Monforte d'Alba","Italy, Piedmont, Langhe, Barolo","Josetta Saffirio","Nebbiolo","Italy","Piedmont","Langhe","Barolo","9999","9999","",""
"Red","Red","Dry","1.5L","SEK","769","769","1","1","0","2017","Josetta Saffirio Barolo del Comune di Monforte d'Alba","Italy, Piedmont, Langhe, Barolo","Josetta Saffirio","Nebbiolo","Italy","Piedmont","Langhe","Barolo","9999","9999","",""
"Red","Red","Dry","1.5L","SEK","749","749","1","1","0","2016","Josetta Saffirio Barolo del Comune di Monforte d'Alba","Italy, Piedmont, Langhe, Barolo","Josetta Saffirio","Nebbiolo","Italy","Piedmont","Langhe","Barolo","9999","9999","",""
"Red","Red","Dry","750ml","SEK","625","625","1","1","0","2014","Josetta Saffirio Barolo Francesco Millenovecentoquarantotto","Italy, Piedmont, Langhe, Barolo","Josetta Saffirio","Nebbiolo","Italy","Piedmont","Langhe","Barolo","9999","9999","",""
